"date","fsa","dose","coverage"
2021-03-29,"L0P","dose_2",NA
2021-03-29,"L0P","dose_3",NA
2021-03-29,"L0R","dose_1",0.110123597
2021-03-29,"L0R","dose_2",NA
2021-03-29,"L0R","dose_3",NA
2021-03-29,"L0S","dose_1",0.1295818019
2021-03-29,"L0S","dose_2",NA
2021-03-29,"L0S","dose_3",NA
2021-03-29,"L1A","dose_1",0.1218795888
2021-03-29,"L1A","dose_2",NA
2021-03-29,"L1A","dose_3",NA
2021-03-29,"L1B","dose_1",0.1647006454
2021-03-29,"L1B","dose_2",NA
2021-03-29,"L1B","dose_3",NA
2021-03-29,"L1C","dose_1",0.1144229439
2021-03-29,"L1C","dose_2",NA
2021-03-29,"L1C","dose_3",NA
2021-03-29,"L1E","dose_1",0.1105603884
2021-03-29,"L1E","dose_2",NA
2021-03-29,"L1E","dose_3",NA
2021-03-29,"L1G","dose_1",0.1413817421
2021-03-29,"L1G","dose_2",NA
2021-03-29,"L1G","dose_3",NA
2021-03-29,"L1H","dose_1",0.1005187491
2021-03-29,"L1H","dose_2",NA
2021-03-29,"L1H","dose_3",NA
2021-03-29,"L1J","dose_1",0.1005398412
2021-03-29,"L1J","dose_2",NA
2021-03-29,"L1J","dose_3",NA
2021-03-29,"L1K","dose_1",0.1000657606
2021-03-29,"L1K","dose_2",NA
2021-03-29,"L1K","dose_3",NA
2021-03-29,"L1L","dose_1",0.0696760744
2021-03-29,"L1L","dose_2",NA
2021-03-29,"L1L","dose_3",NA
2021-03-29,"L1M","dose_1",0.104891163
2021-03-29,"L1M","dose_2",NA
2021-03-29,"L1M","dose_3",NA
2021-03-29,"L1N","dose_1",0.1293474915
2021-03-29,"L1N","dose_2",NA
2021-03-29,"L1N","dose_3",NA
2021-03-29,"L1P","dose_1",0.0844218462
2021-03-29,"L1P","dose_2",NA
2021-03-29,"L1P","dose_3",NA
2021-03-29,"L1R","dose_1",0.1045993234
2021-03-29,"L1R","dose_2",NA
2021-03-29,"L1R","dose_3",NA
2021-03-29,"L1S","dose_1",0.1149832776
2021-03-29,"L1S","dose_2",NA
2021-03-29,"L1S","dose_3",NA
2021-03-29,"L1T","dose_1",0.08296709
2021-03-29,"L1T","dose_2",NA
2021-03-29,"L1T","dose_3",NA
2021-03-29,"L1V","dose_1",0.1231471725
2021-03-29,"L1V","dose_2",NA
2021-03-29,"L1V","dose_3",NA
2021-03-29,"L1W","dose_1",0.1299414155
2021-03-29,"L1W","dose_2",NA
2021-03-29,"L1W","dose_3",NA
2021-03-29,"L1X","dose_1",0.0899636392
2021-03-29,"L1X","dose_2",NA
2021-03-29,"L1X","dose_3",NA
2021-03-29,"L1Y","dose_1",0.1177052423
2021-03-29,"L1Y","dose_2",NA
2021-03-29,"L1Y","dose_3",NA
2021-03-29,"L1Z","dose_1",0.0670524558
2021-03-29,"L1Z","dose_2",NA
2021-03-29,"L1Z","dose_3",NA
2021-03-29,"L2A","dose_1",0.0854349517
2021-03-29,"L2A","dose_2",NA
2021-03-29,"L2A","dose_3",NA
2021-03-29,"L2E","dose_1",0.1118826021
2021-03-29,"L2E","dose_2",NA
2021-03-29,"L2E","dose_3",NA
2021-03-29,"L2G","dose_1",0.1103204025
2021-03-29,"L2G","dose_2",NA
2021-03-29,"L2G","dose_3",NA
2021-03-29,"L2H","dose_1",0.1085040101
2021-03-29,"L2H","dose_2",NA
2021-03-29,"L2H","dose_3",NA
2021-03-29,"L2J","dose_1",0.147779379
2021-03-29,"L2J","dose_2",NA
2021-03-29,"L2J","dose_3",NA
2021-03-29,"L2M","dose_1",0.1256381414
2021-03-29,"L2M","dose_2",NA
2021-03-29,"L2M","dose_3",NA
2021-03-29,"L2N","dose_1",0.1603273953
2021-03-29,"L2N","dose_2",NA
2021-03-29,"L2N","dose_3",NA
2021-03-29,"L2P","dose_1",0.0938373571
2021-03-29,"L2P","dose_2",NA
2021-03-29,"L2P","dose_3",NA
2021-03-29,"L2R","dose_1",0.10168662
2021-03-29,"L2R","dose_2",NA
2021-03-29,"L2R","dose_3",NA
2021-03-29,"L2S","dose_1",0.1240755547
2021-03-29,"L2S","dose_2",NA
2021-03-29,"L2S","dose_3",NA
2021-03-29,"L2T","dose_1",0.1304270778
2021-03-29,"L2T","dose_2",NA
2021-03-29,"L2T","dose_3",NA
2021-03-29,"L2V","dose_1",0.0955082255
2021-03-29,"L2V","dose_2",NA
2021-03-29,"L2V","dose_3",NA
2021-03-29,"L2W","dose_1",0.1336822074
2021-03-29,"L2W","dose_2",NA
2021-03-29,"L2W","dose_3",NA
2021-03-29,"L3B","dose_1",0.1071343639
2021-03-29,"L3B","dose_2",NA
2021-03-29,"L3B","dose_3",NA
2021-03-29,"L3C","dose_1",0.1466518119
2021-03-29,"L3C","dose_2",NA
2021-03-29,"L3C","dose_3",NA
2021-03-29,"L3K","dose_1",0.1139766202
2021-03-29,"L3K","dose_2",NA
2021-03-29,"L3K","dose_3",NA
2021-03-29,"L3M","dose_1",0.1274087741
2021-03-29,"L3M","dose_2",NA
2021-03-29,"L3M","dose_3",NA
2021-03-29,"L3P","dose_1",0.1518185687
2021-03-29,"L3P","dose_2",NA
2021-03-29,"L3P","dose_3",NA
2021-03-29,"L3R","dose_1",0.1233872895
2021-03-29,"L3R","dose_2",NA
2021-03-29,"L3R","dose_3",NA
2021-03-29,"L3S","dose_1",0.0877962691
2021-03-29,"L3S","dose_2",NA
2021-03-29,"L3S","dose_3",NA
2021-03-29,"L3T","dose_1",0.1626653872
2021-03-29,"L3T","dose_2",NA
2021-03-29,"L3T","dose_3",NA
2021-03-29,"L3V","dose_1",0.1314937322
2021-03-29,"L3V","dose_2",NA
2021-03-29,"L3V","dose_3",NA
2021-03-29,"L3X","dose_1",0.0860277256
2021-03-29,"L3X","dose_2",NA
2021-03-29,"L3X","dose_3",NA
2021-03-29,"L3Y","dose_1",0.1435067774
2021-03-29,"L3Y","dose_2",NA
2021-03-29,"L3Y","dose_3",NA
2021-03-29,"L3Z","dose_1",0.0699148663
2021-03-29,"L3Z","dose_2",NA
2021-03-29,"L3Z","dose_3",NA
2021-03-29,"L4A","dose_1",0.1300170585
2021-03-29,"L4A","dose_2",NA
2021-03-29,"L4A","dose_3",NA
2021-03-29,"L4B","dose_1",0.1171440036
2021-03-29,"L4B","dose_2",NA
2021-03-29,"L4B","dose_3",NA
2021-03-29,"L4C","dose_1",0.1321336501
2021-03-29,"L4C","dose_2",NA
2021-03-29,"L4C","dose_3",NA
2021-03-29,"L4E","dose_1",0.0799121995
2021-03-29,"L4E","dose_2",NA
2021-03-29,"L4E","dose_3",NA
2021-03-29,"L4G","dose_1",0.1112912941
2021-03-29,"L4G","dose_2",NA
2021-03-29,"L4G","dose_3",NA
2021-03-29,"L4H","dose_1",0.063895343
2021-03-29,"L4H","dose_2",NA
2021-03-29,"L4H","dose_3",NA
2021-03-29,"L4J","dose_1",0.1547223999
2021-03-29,"L4J","dose_2",NA
2021-03-29,"L4J","dose_3",NA
2021-03-29,"L4K","dose_1",0.0986685056
2021-03-29,"L4K","dose_2",NA
2021-03-29,"L4K","dose_3",NA
2021-03-29,"L4L","dose_1",0.125727391
2021-03-29,"L4L","dose_2",NA
2021-03-29,"L4L","dose_3",NA
2021-03-29,"L4M","dose_1",0.1160289013
2021-03-29,"L4M","dose_2",NA
2021-03-29,"L4M","dose_3",NA
2021-03-29,"L4N","dose_1",0.1096385428
2021-03-29,"L4N","dose_2",NA
2021-03-29,"L4N","dose_3",NA
2021-03-29,"L4P","dose_1",0.1044060695
2021-03-29,"L4P","dose_2",NA
