"date","fsa","hot_spot_fsa","cum_cases_per_100","cum_hospitalizations_deaths_per_1000","cum_hospitalizations_per_1000","cum_deaths_per_1000"
2021-03-29,"L6C",1,1.16301075,0.4989247311828,NA,NA
2021-03-29,"L6E",1,1.77052471,0.88406766701711,NA,NA
2021-03-29,"L6G",0,1.27188184,0.41028446389497,NA,NA
2021-03-29,"L6H",0,1.46924482,0.49482338611449,NA,NA
2021-03-29,"L6J",0,0.9713882,0.24726245143059,NA,NA
2021-03-29,"L6K",0,1.5903187,0.8870303491098,NA,NA
2021-03-29,"L6L",0,1.18698798,0.44848412366202,NA,NA
2021-03-29,"L6M",0,1.2675867,0.45227297730079,NA,NA
2021-03-29,"L6P",1,7.10483191,1.92965954599668,NA,NA
2021-03-29,"L6R",1,5.94799345,1.87997915270643,NA,NA
2021-03-29,"L6S",1,4.17656825,1.52999772127999,NA,NA
2021-03-29,"L6T",1,4.39665952,1.65237584851733,NA,NA
2021-03-29,"L6V",1,3.86862532,1.39804690760371,NA,NA
2021-03-29,"L6W",1,4.22743437,2.03779917688896,NA,NA
2021-03-29,"L6X",1,4.61009718,1.17326380658924,NA,NA
2021-03-29,"L6Y",1,4.8192085,1.48049729524533,NA,NA
2021-03-29,"L6Z",1,3.49839535,1.14049279898151,NA,NA
2021-03-29,"L7A",1,4.59704676,1.37360154710911,NA,NA
2021-03-29,"L7B",0,2.51631457,0.77425063599159,NA,NA
2021-03-29,"L7C",1,4.07426217,0.98752892048981,NA,NA
2021-03-29,"L7E",0,2.49632092,0.5723006486074,NA,NA
2021-03-29,"L7G",0,1.70323769,1.38100352923124,NA,NA
2021-03-29,"L7J",0,0.96540628,0.46929471708233,NA,NA
2021-03-29,"L7K",0,1.72582619,0.3671970624235,NA,NA
2021-03-29,"L7L",0,1.20305108,0.617939557787,NA,NA
2021-03-29,"L7M",0,1.37909036,0.58165716001201,NA,NA
2021-03-29,"L7N",0,1.13932063,0.77361277164358,NA,NA
2021-03-29,"L7P",0,1.30235173,0.56216621381055,NA,NA
2021-03-29,"L7R",0,1.27953278,0.63711176002124,NA,NA
2021-03-29,"L7S",0,1.3003096,1.0061919504644,NA,NA
2021-03-29,"L7T",0,1.10663471,0.76495486766281,NA,NA
2021-03-29,"L8B",0,1.25478123,0.32652299654819,NA,NA
2021-03-29,"L8E",0,2.19688665,1.55667616750713,NA,NA
2021-03-29,"L8G",0,1.89641021,1.38234912955203,NA,NA
2021-03-29,"L8H",0,1.68568555,1.21397107280358,NA,NA
2021-03-29,"L8J",0,2.26336081,0.83089603828769,NA,NA
2021-03-29,"L8K",0,1.98452645,1.38054013632834,NA,NA
2021-03-29,"L8L",0,2.06251744,1.89785096288027,NA,NA
2021-03-29,"L8M",0,1.74039159,4.81244643681192,NA,NA
2021-03-29,"L8N",0,2.38379023,2.14541120381406,NA,NA
2021-03-29,"L8P",0,1.68617338,2.8169014084507,NA,NA
2021-03-29,"L8R",0,2.07302202,2.2953877053296,NA,NA
2021-03-29,"L8S",0,1.90764373,1.71030127614788,NA,NA
2021-03-29,"L8T",0,2.10230252,2.14520665490776,NA,NA
2021-03-29,"L8V",0,1.96703881,2.17083111819954,NA,NA
2021-03-29,"L8W",1,2.32727778,1.42415505922401,NA,NA
2021-03-29,"L9A",0,2.24678515,1.44487790781679,NA,NA
2021-03-29,"L9B",0,2.41079682,2.25550009243853,NA,NA
2021-03-29,"L9C",1,2.22267629,1.38491576987695,NA,NA
2021-03-29,"L9E",1,2.45411715,0.84382251599747,NA,NA
2021-03-29,"L9G",0,1.44361928,0.64413458623825,NA,NA
2021-03-29,"L9H",0,1.02243339,0.90214711012209,NA,NA
2021-03-29,"L9J",0,1.79233622,0,NA,NA
2021-03-29,"L9K",0,1.90761848,1.37972405518896,NA,NA
2021-03-29,"L9L",0,0.68661744,0.90685321932893,NA,NA
2021-03-29,"L9M",0,0.939838,1.54578618685463,NA,NA
2021-03-29,"L9N",0,2.01673357,0.87053247569764,NA,NA
2021-03-29,"L9P",0,0.91763528,1.22351370891497,NA,NA
2021-03-29,"L9R",0,1.7411362,0.70687153539938,NA,NA
2021-03-29,"L9S",0,1.54724307,0.81128849998551,NA,NA
2021-03-29,"L9T",0,2.25839235,0.66945201722831,NA,NA
2021-03-29,"L9V",0,1.25624006,0.54857644412749,NA,NA
2021-03-29,"L9W",0,1.50791991,0.91273840536994,NA,NA
2021-03-29,"L9X",0,1.2576718,0.30184123151222,NA,NA
2021-03-29,"L9Y",0,0.60036365,0.6175168959484,NA,NA
2021-03-29,"L9Z",0,0.6157374,0.80682831542741,NA,NA
2021-03-29,"M1B",1,4.40266763,2.32143096762073,NA,NA
2021-03-29,"M1C",1,2.89079767,1.73297166968053,NA,NA
2021-03-29,"M1E",1,3.30341046,2.00946514423077,NA,NA
2021-03-29,"M1G",1,4.550036,2.735781137509,NA,NA
2021-03-29,"M1H",1,4.05188123,2.5011612534391,NA,NA
2021-03-29,"M1J",1,4.81537921,2.78982534286719,NA,NA
2021-03-29,"M1K",1,3.6462855,2.37416062791233,NA,NA
2021-03-29,"M1L",1,3.35747364,1.74894078234309,NA,NA
2021-03-29,"M1M",1,3.32059153,3.01169929340901,NA,NA
2021-03-29,"M1N",0,1.7655139,1.33322559793148,NA,NA
2021-03-29,"M1P",1,3.99048362,2.55902756952358,NA,NA
2021-03-29,"M1R",1,3.57070692,2.02061022428774,NA,NA
2021-03-29,"M1S",1,2.31990516,1.51096027336758,NA,NA
2021-03-29,"M1T",1,2.69702188,1.89931118314425,NA,NA
2021-03-29,"M1V",1,2.73000363,1.78259003730235,NA,NA
2021-03-29,"M1W",1,2.71165578,2.09981355103814,NA,NA
2021-03-29,"M1X",1,5.74094856,2.48065678341504,NA,NA
2021-03-29,"M2H",0,1.49150908,1.03337811305157,NA,NA
2021-03-29,"M2J",1,2.23179929,1.31529237270349,NA,NA
2021-03-29,"M2K",0,1.25983696,0.77637011680841,NA,NA
2021-03-29,"M2L",0,1.5994693,1.40045699122872,NA,NA
2021-03-29,"M2M",1,2.58611718,1.95129566031845,NA,NA
2021-03-29,"M2N",0,1.25138728,0.84935788543861,NA,NA
2021-03-29,"M2P",0,1.32763276,0.33753375337534,NA,NA
2021-03-29,"M2R",1,4.89869466,2.80763509124814,NA,NA
2021-03-29,"M3A",1,2.58033718,1.60799979900003,NA,NA
2021-03-29,"M3B",0,1.13553357,1.06248754897404,NA,NA
2021-03-29,"M3C",1,3.91755273,3.09395154261809,NA,NA
2021-03-29,"M3H",1,3.72702558,2.50946859678881,NA,NA
2021-03-29,"M3J",1,5.18348184,2.65082558845134,NA,NA
2021-03-29,"M3K",1,5.3172422,2.38977177679532,NA,NA
2021-03-29,"M3L",1,6.67938931,3.77024762614038,NA,NA
2021-03-29,"M3M",1,6.09795537,2.98250026950304,NA,NA
2021-03-29,"M3N",1,6.9441504,5.05991446839141,NA,NA
2021-03-29,"M4A",1,3.31730176,2.15809594277963,NA,NA
2021-03-29,"M4B",0,2.02670253,1.77696666986841,NA,NA
2021-03-29,"M4C",0,2.11268811,1.52373778013662,NA,NA
2021-03-29,"M4E",0,1.04780385,0.45863467983771,NA,NA
2021-03-29,"M4G",0,1.18635461,0.73858653002816,NA,NA
2021-03-29,"M4H",1,5.73581746,3.80992254553067,NA,NA
2021-03-29,"M4J",0,1.74221246,1.32288338658147,NA,NA
2021-03-29,"M4K",0,1.41898425,1.08058920548257,NA,NA
2021-03-29,"M4L",0,1.29324281,0.83521931242591,NA,NA
2021-03-29,"M4M",0,1.50164075,0.92737908403481,NA,NA
2021-03-29,"M4N",0,1.39864132,0.74213621053833,NA,NA
2021-03-29,"M4P",0,1.58221667,0.42973785990546,NA,NA
2021-03-29,"M4R",0,1.16976605,0.2249550089982,NA,NA
2021-03-29,"M4S",0,1.34580916,1.33669532460431,NA,NA
2021-03-29,"M4T",0,1.08677338,0.58972198820556,NA,NA
2021-03-29,"M4V",0,1.17635853,1.28589798542649,NA,NA
2021-03-29,"M4W",0,1.14199149,0.69917846530327,NA,NA
2021-03-29,"M4X",1,3.55452205,2.11776430529026,NA,NA
2021-03-29,"M4Y",0,1.40221209,0.65523929338995,NA,NA
2021-03-29,"M5A",1,2.46435689,2.22290357197609,NA,NA
2021-03-29,"M5B",1,1.9561531,0.90843023255814,NA,NA
2021-03-29,"M5C",0,1.6767852,0.86730268863833,NA,NA
2021-03-29,"M5E",0,1.25448029,0.51203277009729,NA,NA
2021-03-29,"M5G",0,1.00645161,0.51612903225806,NA,NA
2021-03-29,"M5H",0,1.7277963,0.9093664746893,NA,NA
2021-03-29,"M5J",0,0.94669221,0.16905218077313,NA,NA
2021-03-29,"M5M",0,1.73228346,0.78740157480315,NA,NA
2021-03-29,"M5N",1,3.05681404,2.49960943602562,NA,NA
2021-03-29,"M5P",0,1.29003157,0.63148398737032,NA,NA
2021-03-29,"M5R",0,1.41341523,1.32616737628254,NA,NA
2021-03-29,"M5S",0,1.21192792,0.95678520172221,NA,NA
2021-03-29,"M5T",0,1.74757282,1.46815060383614,NA,NA
2021-03-29,"M5V",1,1.84035362,0.65358352969505,NA,NA
2021-03-29,"M6A",1,5.24619447,3.4560422491457,NA,NA
2021-03-29,"M6B",1,4.48257114,2.53730441611792,NA,NA
2021-03-29,"M6C",0,2.11422699,1.39480252532668,NA,NA
2021-03-29,"M6E",1,3.46283196,1.92508407746724,NA,NA
2021-03-29,"M6G",0,1.46333163,1.41795700754353,NA,NA
2021-03-29,"M6H",1,2.33403407,1.72891412404959,NA,NA
2021-03-29,"M6J",0,1.76447919,1.23871393966087,NA,NA
2021-03-29,"M6K",1,2.66381926,2.31538720917163,NA,NA
2021-03-29,"M6L",1,5.51910459,5.10313478279515,NA,NA
2021-03-29,"M6M",1,4.88008516,3.21442735185456,NA,NA
2021-03-29,"M6N",1,4.19480519,2.9004329004329,NA,NA
2021-03-29,"M6P",0,1.39452277,0.96476418093714,NA,NA
2021-03-29,"M6R",0,1.44488049,1.15947199429183,NA,NA
2021-03-29,"M6S",0,1.43815162,1.36218368523079,NA,NA
2021-03-29,"M8V",1,2.06386715,1.58258720489085,NA,NA
2021-03-29,"M8W",0,1.94351404,1.32324360087665,NA,NA
2021-03-29,"M8X",0,1.4625074,1.94437399611125,NA,NA
2021-03-29,"M8Y",0,1.74291037,0.82798592423929,NA,NA
2021-03-29,"M8Z",0,2.77639566,0.84585530898597,NA,NA
2021-03-29,"M9A",1,2.66773845,2.36127508854782,NA,NA
2021-03-29,"M9B",1,2.52871708,1.23745729427273,NA,NA
2021-03-29,"M9C",1,2.65418373,1.54476301930954,NA,NA
2021-03-29,"M9L",1,6.41410078,3.58370511226505,NA,NA
2021-03-29,"M9M",1,6.60217743,2.57466529351184,NA,NA
2021-03-29,"M9N",1,5.17880431,4.04969455693596,NA,NA
2021-03-29,"M9P",1,3.67485692,2.53883557812298,NA,NA
2021-03-29,"M9R",1,4.18300978,2.8300481604687,NA,NA
2021-03-29,"M9V",1,6.63920974,3.66952590344657,NA,NA
2021-03-29,"M9W",1,4.92564859,2.3122122992724,NA,NA
2021-03-29,"N0A",0,1.75199982,0.59936835796123,NA,NA
2021-03-29,"N0B",0,1.34949706,0.464952767603,NA,NA
2021-03-29,"N0C",0,0.81282953,0.16476274165202,NA,NA
2021-03-29,"N0E",0,1.4357986,0.57817393399181,NA,NA
2021-03-29,"N0G",0,0.97781077,0.6263556540197,NA,NA
2021-03-29,"N0H",0,0.23701399,0.12664869461381,NA,NA
2021-03-29,"N0J",0,1.52844452,0.93803454174254,NA,NA
2021-03-29,"N0K",0,0.85022891,0.42319085907744,NA,NA
2021-03-29,"N0L",0,0.94530722,0.38323265872219,NA,NA
2021-03-29,"N0M",0,0.8,0.18150087260035,NA,NA
2021-03-29,"N0N",0,1.69617684,0.54133303259276,NA,NA
2021-03-29,"N0P",0,2.12356826,0.81932948750105,NA,NA
2021-03-29,"N0R",0,1.85610373,0.73318026587432,NA,NA
2021-03-29,"N1A",0,1.55501511,0.51588178937284,NA,NA
2021-03-29,"N1C",0,1.5503876,0.72674418604651,NA,NA
2021-03-29,"N1E",0,1.57260621,0.65525258930459,NA,NA
2021-03-29,"N1G",0,1.5803084,0.44695591099192,NA,NA
2021-03-29,"N1H",0,1.92790743,1.03050731016123,NA,NA
2021-03-29,"N1K",1,2.3185737,0.83703021679083,NA,NA
2021-03-29,"N1L",0,1.83219752,0.78203552675679,NA,NA
2021-03-29,"N1M",0,0.5988024,0.15757957768673,NA,NA
2021-03-29,"N1P",0,1.69885967,0.34908075401443,NA,NA
2021-03-29,"N1R",0,1.68584825,0.98039215686275,NA,NA
2021-03-29,"N1S",0,1.27665611,0.70925339259539,NA,NA
2021-03-29,"N1T",0,1.99733054,0.57202783868815,NA,NA
2021-03-29,"N2A",0,1.6983104,1.30639261452709,NA,NA
2021-03-29,"N2B",0,1.74434451,1.09021531752521,NA,NA
2021-03-29,"N2C",1,2.65674814,1.26511816203633,NA,NA
2021-03-29,"N2E",0,2.22167477,1.27656715415108,NA,NA
2021-03-29,"N2G",0,1.71649426,1.64828918949642,NA,NA
2021-03-29,"N2H",0,1.12293884,1.00187852222918,NA,NA
2021-03-29,"N2J",0,1.36709111,1.0364228605271,NA,NA
2021-03-29,"N2K",0,1.16686489,0.96435115239963,NA,NA
2021-03-29,"N2L",0,1.41058383,0.77210904555443,NA,NA
2021-03-29,"N2M",0,2.27045409,1.1002200440088,NA,NA
2021-03-29,"N2N",0,1.73491824,0.82451559708671,NA,NA
2021-03-29,"N2P",0,1.93195151,0.82127493156042,NA,NA
2021-03-29,"N2R",0,2.06748263,0.49619583195501,NA,NA
2021-03-29,"N2T",0,1.13057257,0.77084493169457,NA,NA
2021-03-29,"N2V",0,0.98419608,0.3785369546702,NA,NA
2021-03-29,"N2Z",0,0.32398262,0,NA,NA
2021-03-29,"N3A",0,0.8600785,0.46178711613946,NA,NA
2021-03-29,"N3B",0,2.35303254,1.78613030985478,NA,NA
2021-03-29,"N3C",0,1.3214536,0.76751092868822,NA,NA
2021-03-29,"N3E",0,3.24588706,1.33392618941752,NA,NA
2021-03-29,"N3H",0,1.527287,0.43188064389478,NA,NA
2021-03-29,"N3L",0,1.14285714,0.57142857142857,NA,NA
2021-03-29,"N3P",0,1.17761452,0.32411408815903,NA,NA
2021-03-29,"N3R",0,0.81657302,0.21005093735231,NA,NA
2021-03-29,"N3S",0,1.12379036,0.62432798029898,NA,NA
2021-03-29,"N3T",0,1.34629011,0.60734892195566,NA,NA
2021-03-29,"N3V",0,0.47169811,0,NA,NA
2021-03-29,"N3W",0,1.2810756,0.19025875190259,NA,NA
2021-03-29,"N3Y",0,0.98425197,0.56242969628796,NA,NA
2021-03-29,"N4B",0,0.96866097,1.02564102564103,NA,NA
2021-03-29,"N4G",0,1.24349075,0.58358771772311,NA,NA
2021-03-29,"N4K",0,0.40211434,0.2594286084898,NA,NA
2021-03-29,"N4L",0,0.26479392,0.34538337554686,NA,NA
2021-03-29,"N4N",0,0.51517422,0.28100412139378,NA,NA
2021-03-29,"N4S",0,1.02247191,0.36516853932584,NA,NA
2021-03-29,"N4T",0,1.23561715,0.39225941422594,NA,NA
2021-03-29,"N4V",0,0.87133314,0.87133313970375,NA,NA
2021-03-29,"N4W",0,2.01213424,1.53598033945166,NA,NA
2021-03-29,"N4X",0,0.53398058,0.29126213592233,NA,NA
2021-03-29,"N4Z",0,1.25,1.171875,NA,NA
2021-03-29,"N5A",0,0.99046853,0.86127698667892,NA,NA
